record_id,citation_key,bibliography_eligible,bibliography_exclusion_reason,verified_citation,doi,doi_status,pmid,pmid_status,publication_type,publication_status,country_setting,database_version,cohort_dates,sample_size,population_eligibility,design,analysis_grain,time_zero_windows,exposure_or_intervention,comparator,outcomes_horizon,statistical_methods,main_estimate_uncertainty,validation,code_data_availability,limitations_risk_of_bias,relevance,access_level,source_urls,verification_notes
"EV-011","pollard2018eicu","yes","","Pollard TJ, Johnson AEW, Raffa JD, et al. The eICU Collaborative Research Database, a freely available multi-center database for critical care research. Sci Data. 2018;5:180178.","10.1038/sdata.2018.178","verified","30204154","verified","Data descriptor and multicenter database report","Published; indexed for MEDLINE","US multicenter ICUs monitored by eICU programs","Paper describes eICU-CRD generally; official v2.0 record is EV-014","not reported in abstract","Over 200,000 ICU admissions","Deidentified critical-care admissions across the United States","Database/data descriptor","ICU admission/stay and event","Routine clinical care","not applicable","not applicable","Database content, access, and research use","Descriptive database construction","No clinical effect estimate","Multicenter source by design","Credentialed access after training and data-use agreement","Source era/version details and selection of eICU-participating units limit representativeness","Direct support for multicenter deidentified ICU data and access model","Abstract and authoritative metadata assessed; article open access","https://pubmed.ncbi.nlm.nih.gov/30204154/; https://doi.org/10.1038/sdata.2018.178","No PubMed correction/retraction relation found"
"EV-012","goldberger2000physionet","yes","","Goldberger AL, Amaral LA, Glass L, et al. PhysioBank, PhysioToolkit, and PhysioNet. Circulation. 2000;101(23):E215-E220.","10.1161/01.cir.101.23.e215","verified","10851218","verified","Research-resource description","Published; indexed for MEDLINE","US NIH-supported research resource","Early PhysioNet resource","not applicable","not applicable","Biomedical signal and database research community","Resource description","Database/signal level","not applicable","PhysioBank, PhysioToolkit, and PhysioNet","not applicable","Resource access and analytic support","Descriptive","No clinical effect estimate","not applicable","Open-source tools and public resource described","Historical article does not establish current credentialing or current dataset versions","Historical PhysioNet provenance only","Abstract and authoritative metadata assessed","https://pubmed.ncbi.nlm.nih.gov/10851218/; https://doi.org/10.1161/01.cir.101.23.e215","No PubMed correction/retraction relation found"
"EV-013","johnson2024mimiciv31","yes","","Johnson A, Bulgarelli L, Pollard T, et al. MIMIC-IV (version 3.1). PhysioNet. 2024.","10.13026/kpb9-mt58","verified","","not_applicable","Official dataset version record","Published 2024-10-11; current checked record","Beth Israel Deaconess Medical Center, Boston, USA","MIMIC-IV 3.1","Source data years described in official documentation","Version-level resource","Credentialed users under PhysioNet governance","Official dataset release","Patient, admission, ICU stay, event tables","Routine-care source data; version release","not applicable","not applicable","Data availability, version, and access","Versioned data publication","No clinical estimate","not applicable","Credentialed Access; official documentation and code resources","Official record verifies version/access, not fitness of any specific cohort algorithm","Direct authoritative support for exact MIMIC-IV 3.1 version and citation","Official full dataset landing record assessed","https://physionet.org/content/mimiciv/3.1/; https://doi.org/10.13026/kpb9-mt58","PMID legitimately not applicable to versioned dataset record"
"EV-014","pollard2019eicu20","yes","","Pollard T, Johnson A, Raffa J, et al. eICU Collaborative Research Database (version 2.0). PhysioNet. 2019.","10.13026/C2WM1R","verified","","not_applicable","Official dataset version record","Published 2019-04-15; current checked record","US multicenter eICU participating hospitals","eICU-CRD 2.0","2014-2015 admissions described by official record","Version-level resource; over 200,000 ICU admissions","Credentialed users under PhysioNet governance","Official dataset release","Patient, hospital admission, ICU stay, event tables","Routine-care source data; version release","not applicable","not applicable","Data availability, version, named APACHE/result columns, and access","Versioned data publication and schema description","No clinical estimate","Multicenter source","Credentialed Access; official documentation","Not a validation of a specific SAH cohort, manuscript extraction, APACHE version value, independence, or criterion validity","Authoritative support for eICU-CRD 2.0 provenance and presence of named APACHE/result columns only; CLM-016 remains unresolved","Official dataset landing record and SchemaSpy table record assessed","https://physionet.org/content/eicu-crd/2.0/; https://doi.org/10.13026/C2WM1R; https://mit-lcp.github.io/eicu-schema-spy/tables/apachepatientresult.html","SchemaSpy lists acutephysiologyscore, apachescore, apacheversion, predicted/actual ICU and hospital mortality, and LOS columns; it does not establish the extracted version value or NSAH criterion validity"
"EV-015","hunt1968surgicalrisk","yes","","Hunt WE, Hess RM. Surgical risk as related to time of intervention in the repair of intracranial aneurysms. J Neurosurg. 1968;28(1):14-20.","10.3171/jns.1968.28.1.0014","verified","5635959","verified","Original clinical grading report","Published; indexed for MEDLINE","Neurosurgical setting, USA","not applicable","not available in PubMed abstract","not available in PubMed abstract","Patients undergoing intracranial aneurysm repair","Original scale/risk report","Patient","Clinical condition and timing around aneurysm surgery","Hunt-Hess clinical grade and timing","Risk groups","Surgical risk/outcome","Original clinical classification","Detailed estimates not extracted; PubMed has no abstract","Historical uptake constitutes external use; not formal modern validation","Data/code not applicable","Historical scale, treatment-era differences, and no abstract available in PubMed audit","Canonical identity for Hunt-Hess; supports neurological/surgical risk domain","Metadata-only; original full text not assessed","https://pubmed.ncbi.nlm.nih.gov/5635959/; https://doi.org/10.3171/jns.1968.28.1.0014","No PubMed correction/retraction relation found"
"EV-016","teasdale1974gcs","yes","","Teasdale G, Jennett B. Assessment of coma and impaired consciousness. A practical scale. Lancet. 1974;2(7872):81-84.","10.1016/S0140-6736(74)91639-0","verified","4136544","verified","Original scale report","Published; indexed for MEDLINE","Neurological clinical setting, United Kingdom","not applicable","not available in PubMed abstract","not available in PubMed abstract","Patients with impaired consciousness","Original scale-development report","Patient assessment","Point-of-care neurological examination","Eye, verbal, and motor responses","not applicable","Level of consciousness","Clinical scale construction","Detailed estimates not extracted; PubMed has no abstract","Extensive subsequent use; not assessed here","Data/code not applicable","General coma scale, not SAH-specific; historical report and no abstract in PubMed audit","Canonical identity for GCS and its neurological domain","Metadata-only; original full text not assessed","https://pubmed.ncbi.nlm.nih.gov/4136544/; https://doi.org/10.1016/S0140-6736(74)91639-0","No PubMed correction/retraction relation found"
"EV-017","teasdale1988wfns","yes","","Report of World Federation of Neurological Surgeons Committee on a Universal Subarachnoid Hemorrhage Grading Scale. J Neurosurg. 1988;68(6):985-986.","10.3171/jns.1988.68.6.0985","verified","3131498","verified","Original consensus scale report","Published; indexed for MEDLINE","International WFNS committee","not applicable","not applicable","not available in PubMed abstract","Patients with SAH","Consensus scale report","Patient assessment","Initial clinical grading","WFNS grade based on neurological status/GCS and motor deficit","not applicable","SAH clinical severity classification","Consensus classification","No effect estimate","Subsequent use not evaluated here","Data/code not applicable","Brief historical consensus report; PubMed has no abstract and explicitly lists no authors; full text not assessed","Canonical PubMed- and DOI-verified WFNS scale source missing from legacy bibliography","PubMed metadata and DOI record assessed; full text restricted","https://pubmed.ncbi.nlm.nih.gov/3131498/; https://doi.org/10.3171/jns.1988.68.6.0985","PubMed explicitly states No authors listed; PMID 3131498 title, journal, volume, issue, pages, and DOI agree; no author or collective author inferred"
"EV-018","knaus1985apacheii","yes","","Knaus WA, Draper EA, Wagner DP, Zimmerman JE. APACHE II: a severity of disease classification system. Crit Care Med. 1985;13(10):818-829.","","not_applicable","3928249","verified","Scale development and validation study","Published; indexed for MEDLINE","13 hospitals","APACHE II development dataset","not reported in abstract","5,815 ICU admissions","General adult intensive-care admissions","Severity-score development and validation","ICU admission","Initial values of 12 physiologic variables plus age and prior health","APACHE II score","Disease groups and observed hospital mortality","Hospital mortality and severity/resource comparisons","Point score construction and association with hospital death","Score 0-71 closely correlated with hospital death risk; no single CI in abstract","Multihospital validation","Data/code not reported","Historical model; not SAH-specific; not the APACHE IV/IVa system used by eICU","Direct support for APACHE II as a general ICU severity score only","Abstract and authoritative metadata assessed","https://pubmed.ncbi.nlm.nih.gov/3928249/","PubMed supplies no DOI; treated as legitimately not applicable, not invented"
"EV-019","zimmerman2006apacheiv","yes","","Zimmerman JE, Kramer AA, McNair DS, Malila FM. Acute Physiology and Chronic Health Evaluation (APACHE) IV. Crit Care Med. 2006;34(5):1297-1310.","10.1097/01.CCM.0000215112.84523.F0","verified","16540951","verified","Multicenter observational model development/validation","Published; indexed for MEDLINE","104 ICUs in 45 US hospitals","APACHE IV development dataset","2002-2003","131,618 consecutive admissions; 110,558 complete eligible records","Critically ill adult ICU admissions","Observational prognostic model development and held-out validation","ICU admission","ICU day 1 information","APACHE IV predictors and predicted mortality","Observed hospital mortality","Hospital mortality","Multivariable logistic regression; 60% development and held-out validation; calibration/discrimination","Validation AUROC 0.88; Hosmer-Lemeshow C=16.9, p=0.08","Held-out validation across hospitals and diagnoses","Data/code not reported in abstract","Historical US development study; calibration drifts over time; it does not document the eICU-CRD implementation or establish criterion validity for NSAH","Background for the APACHE IV model only; cannot by itself prove the version, derivation, or independent criterion-validity role of eICU fields in CLM-016","Abstract and authoritative metadata assessed; full text restricted","https://pubmed.ncbi.nlm.nih.gov/16540951/; https://doi.org/10.1097/01.CCM.0000215112.84523.F0; https://mit-lcp.github.io/eicu-schema-spy/tables/apachepatientresult.html","Official eICU v2.0 SchemaSpy confirms named score/version/predicted and actual outcome columns, but not the manuscript-extracted version value or NSAH criterion validity; CLM-016 remains a gap"
"EV-020","vincent1996sofa","yes","","Vincent JL, Moreno R, Takala J, et al. The SOFA score to describe organ dysfunction/failure. Intensive Care Med. 1996;22(7):707-710.","10.1007/BF01709751","verified","8844239","verified","Consensus/conference report","Published; indexed for MEDLINE","European Society of Intensive Care Medicine working group","not applicable","not available in PubMed abstract","not available in PubMed abstract","Critically ill patients","Consensus organ-dysfunction score report","Patient/day","Serial critical-illness assessment","Six-organ SOFA domains","not applicable","Organ dysfunction/failure","Consensus score definition","No effect estimate extracted; PubMed has no abstract","Subsequent validation not assessed here","Data/code not applicable","Originally named sepsis-related; general ICU use evolved; not SAH-specific","Canonical support for SOFA as a general multisystem organ-dysfunction score","Metadata-only; original full text not assessed","https://pubmed.ncbi.nlm.nih.gov/8844239/; https://doi.org/10.1007/BF01709751","No PubMed correction/retraction relation found"
"EV-021","vonelm2007strobe","yes","","von Elm E, Altman DG, Egger M, et al. The STROBE statement: guidelines for reporting observational studies. Lancet. 2007;370(9596):1453-1457.","10.1016/S0140-6736(07)61602-X","verified","18064739","verified","Reporting guideline statement","Published; indexed for MEDLINE","International STROBE Initiative","not applicable","Workshop September 2004 plus iterative revisions","22-item checklist","Cohort, case-control, and cross-sectional observational studies","Consensus reporting-guideline development","Report level","Whole research report","STROBE reporting items","not applicable","Transparent reporting across manuscript sections","Workshop, consultation, and iterative consensus","22 items; 18 common and 4 design-specific","Published in multiple journals","Checklist and explanation resources publicly available","Reporting quality guidance, not a tool for assessing study validity or causality","Canonical support for manuscript STROBE adherence","Abstract and authoritative metadata assessed","https://pubmed.ncbi.nlm.nih.gov/18064739/; https://doi.org/10.1016/S0140-6736(07)61602-X","No correction/retraction relation found"
"EV-022","benchimol2015record","yes","","Benchimol EI, Smeeth L, Guttmann A, et al. The RECORD statement. PLoS Med. 2015;12(10):e1001885.","10.1371/journal.pmed.1001885","verified","26440803","verified","Reporting guideline extension","Published; indexed for MEDLINE","International RECORD Working Committee","not applicable","not applicable","13-item extension checklist","Observational studies using routinely collected health data","Consensus reporting-guideline development","Report level","Whole research report","RECORD items extending STROBE","STROBE without routine-data-specific extensions","Transparent reporting of database studies","Consensus statement with examples and elaboration","13-item extension; no clinical effect estimate","Extension anchored to STROBE","Open-access checklist and article","Reporting guidance, not evidence of clinical validity","Directly relevant reporting guidance for MIMIC/eICU observational research","Open access; abstract used for extraction","https://pubmed.ncbi.nlm.nih.gov/26440803/; https://doi.org/10.1371/journal.pmed.1001885","No correction/retraction relation found"
