claim_id,section,english_claim,chinese_claim,legacy_reference_number,evidence_needed,status,notes
"CLM-011","Methods - Study design and data sources","The study follows the STROBE reporting guideline.","本研究遵循 STROBE 报告规范。","13","Canonical STROBE statement.","legacy_candidate","Legacy reference 13 is the apparent canonical candidate; verify bibliographic identity."
"CLM-012","Methods - Cohort","MIMIC NSAH cases were operationally identified with ICD-9 code 430 or ICD-10 I60.x, while eICU cases additionally used diagnosis text and diagnosis-table entries.","MIMIC NSAH 病例采用 ICD-9 代码 430 或 ICD-10 I60.x 操作性识别，eICU 还使用诊断文本和诊断表条目。","","Reproducible cohort-definition documentation and code list; validation literature would be needed only if diagnostic accuracy is asserted.","no_citation_needed","This is a study-specific operational definition, not a claim that the algorithm has established diagnostic validity."
"CLM-013","Methods - Cohort","Excluding patients receiving at least 5 units of red blood cells within 24 hours reduces distortion of baseline hemoglobin, hemodynamic, and coagulation signals.","排除 24 小时内红细胞输注不少于 5 单位的患者可减少早期强干预对基线血红蛋白、血流动力学和凝血信号的改写。","","Evidence for the massive-transfusion threshold and for the expected distortion of the selected early phenotype variables.","missing_evidence","The threshold is explicitly operational, but the stated bias-reduction rationale is literature-dependent and has no clear legacy source."
"CLM-014","Methods - Variables and preprocessing","The analysis used eight early physiological variables, plausible-range filters, median imputation, log1p transformations, and derivation-cohort standardization.","本研究采用八个早期生理变量、临床合理范围过滤、中位数插补、log1p 转换及开发队列标准化。","","Transparent protocol, code, and supplementary definitions rather than external efficacy evidence.","no_citation_needed","These are study-specific analytic procedures; reproducibility requires exact definitions but not necessarily literature citations."
"CLM-015","Methods - Phenotype derivation and validation","PCA retention, K-means settings, K=3 selection criteria, phenotype ordering, and fixed transport to eICU were study-specific analytic procedures.","主成分保留、K-means 设置、K=3 选择标准、表型排序及向 eICU 的冰冻迁移均为本研究特定分析流程。","","Transparent analytic specification and reproducible code; methodological citations may be added if required by the target journal.","no_citation_needed","No external performance claim is made in the methods description."
"CLM-016","Methods - Phenotype derivation and validation","APACHE, Acute Physiology Score, and predicted mortality are independent eICU severity measures suitable for external criterion validation.","APACHE、急性生理学评分和预测死亡率可作为 eICU 外部效标验证的独立严重程度指标。","11","Authoritative documentation for the exact eICU APACHE system and its component severity measures.","missing_evidence","Legacy reference 11 is APACHE II and may not support the APACHE version implemented in eICU; verify the exact variable/version before assignment."
"CLM-017","Methods - Outcomes and statistical analysis","Process-of-care variables should be interpreted as exploratory severity and treatment-selection markers rather than causal treatment-effect estimates.","诊疗过程变量应解释为探索性严重程度和治疗选择标记，而非因果治疗效应估计。","","Causal-inference or prognostic-modeling guidance on post-baseline/process-variable adjustment and treatment-selection bias.","missing_evidence","The caution is methodologically appropriate but has no obvious legacy methodological source."
"CLM-018","Discussion","The study identified three early NSAH phenotypes with distinct neuro-systemic profiles and externally transported mortality-risk ordering.","本研究识别出三种具有不同神经-全身特征的早期 NSAH 表型，并在外部数据库中保留死亡风险梯度。","","Internal study results, figures, tables, and analysis provenance.","self_generated_result","Support from this study's reported analyses rather than an external citation."
"CLM-019","Discussion","Hunt-Hess, WFNS, and GCS emphasize neurological status, whereas APACHE and SOFA summarize general critical illness severity.","Hunt-Hess、WFNS 和 GCS 主要强调神经状态，而 APACHE 和 SOFA 概括一般危重病严重程度。","3;4;11;12","Original or authoritative descriptions of all five scales and their intended domains.","legacy_candidate","Legacy references 3, 4, 11, and 12 are partial title-level candidates; the legacy list lacks an obvious WFNS source and APACHE version needs verification."
"CLM-020","Discussion","A neuro-systemic phenotype framework may aid prognosis, cohort enrichment, and trial stratification when systemic heterogeneity can obscure treatment signals.","神经-全身表型框架可能有助于预后评估、队列富集和临床试验分层，尤其当全身生理异质性可能稀释治疗信号时。","","External validation or methodological evidence for phenotype-guided prognostication, enrichment, or trial stratification in comparable populations.","missing_evidence","This is a forward-looking interpretation; retain cautious language unless direct supporting evidence is found."
"CLM-021","Discussion","Early anemia was more common in high-risk phenotypes but was not independently associated with mortality after phenotype adjustment.","早期贫血在高危表型中更常见，但调整表型后与死亡率无独立关联。","","Internal multivariable results and phenotype summaries.","self_generated_result","Support from this study's analyses; an external citation would not substantiate the reported estimate."
"CLM-022","Discussion","The study's anemia pattern suggests anemia may mark global physiological derangement rather than act as an isolated prognostic driver.","本研究的贫血模式提示贫血可能是全局生理紊乱的标志物，而非孤立的预后驱动因素。","","Internal results plus, if presented beyond a study-specific interpretation, external mechanistic or prognostic evidence.","self_generated_result","Clearly label as interpretation of the study's association, not a causal conclusion."
"CLM-023","Discussion","Recent randomized evidence in aneurysmal SAH found no clear long-term neurological benefit from a liberal transfusion strategy.","近期动脉瘤性蛛网膜下腔出血随机证据未显示宽松输血策略具有明确的长期神经功能获益。","9","Verified randomized trial report with the exact population, transfusion strategies, outcome, time point, and effect estimate.","legacy_candidate","Legacy reference 9 is a likely candidate but its bibliographic details are incomplete; verify identity and ensure the wording matches the trial's primary and secondary outcomes."
"CLM-024","Discussion","This observational phenotype study does not estimate transfusion effects and should not guide transfusion thresholds.","本观察性表型研究不能估计输血治疗效应，也不应指导输血阈值。","","Study design and estimand assessment.","no_citation_needed","This is a boundary on the present study's inference."
"CLM-025","Discussion","In eICU, the transported mortality and severity ordering persisted, but de novo clustering did not reproduce patient-level labels.","eICU 中迁移后的死亡率和严重程度梯度得以保留，但 de novo 聚类未复制患者层面标签。","","Internal eICU validation and adjusted Rand index results.","self_generated_result","Support from this study's external-validation analyses."
"CLM-026","Discussion","Cluster boundaries can be sensitive to database-specific measurement, missingness, and documentation patterns.","聚类边界可能受到数据库特异性测量方式、缺失模式和记录习惯影响。","","Methodological evidence on dataset shift, measurement heterogeneity, missingness, and cluster transportability in electronic health records.","missing_evidence","Plausible interpretation of the observed discordance, but the current manuscripts do not directly test each proposed mechanism."
"CLM-027","Discussion","For clinical translation, a fixed classifier may be more useful than expecting identical clusters to emerge independently in every dataset.","临床转化时，冰冻分类器可能比期待每个数据库独立产生完全相同聚类更有用。","","External methodological or implementation evidence comparing fixed transport with repeated de novo clustering.","missing_evidence","Forward-looking methodological recommendation; current results support feasibility but do not establish comparative usefulness."
"CLM-028","Discussion","Retrospective observational database studies remain vulnerable to residual confounding and misclassification.","回顾性观察性数据库研究仍可能受到残余混杂和误分类影响。","","Authoritative observational-study or clinical-database methods guidance.","missing_evidence","Common limitation but still a literature-dependent methodological statement if the journal expects support."
"CLM-029","Discussion","Fisher grade, hemorrhage volume, aneurysm location, hydrocephalus, and procedure timing were unavailable in the study databases or extracted analysis.","本研究数据库或已提取分析中缺少 Fisher 分级、出血量、动脉瘤部位、脑积水和处理时间。","","Internal data dictionary, extraction audit, and supplementary provenance.","self_generated_result","Must be checked against the actual available source fields and extraction scope; absence from the analytic table is not necessarily absence from the source database."
"CLM-030","Discussion","The 0-48-hour feature window may include physiology altered by early ICU interventions.","0–48 小时特征窗口可能包含被早期 ICU 干预改变后的生理信号。","","Temporal design and exposure-window rationale; external evidence is optional unless specific intervention effects are asserted.","no_citation_needed","A direct limitation inferred from the study's timing design."
"CLM-031","Discussion","Findings from two US critical-care databases require prospective validation in contemporary and geographically diverse neurocritical-care cohorts.","来自两个美国重症数据库的发现仍需在当代、多地域神经重症队列中进行前瞻性验证。","","Internal source-setting documentation and the current external-validation rationale.","no_citation_needed","This is an appropriately cautious generalizability statement and research recommendation."
